id,name,latitude,longitude,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
T32012,"Salem MBTA - Lower Level",42.523994,-70.89684,42.523386,-70.896996,0.99,rooftop,32,"Federal St",,,Salem,MA,"Essex County",01970,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
K32006,"Commonwealth Ave At Babcock St",42.35154734791375,-71.12126246094704,42.3515,-71.121498,1,rooftop,1016,"Commonwealth Ave",,,Boston,MA,"Norfolk County",02215,US,"City of Brookline"
D32059,"Shawmut Ave at Lenox St",42.335880876,-71.080399513,42.335949,-71.080411,1,rooftop,601,"Shawmut Ave",,,Boston,MA,"Suffolk County",02118,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
572,"Essex St at Dalton Parkway",42.516223,-70.905535,42.516271,-70.905458,1,rooftop,427,"Essex St",,,Salem,MA,"Essex County",01970,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
17,"Soldiers Field Park - 111 Western Ave",42.364263440638524,-71.1182756971175,42.364324,-71.119363,0.99,rooftop,1,"Western Ave",,,Boston,MA,"Suffolk County",02163,US,"City of Boston"
M32077,"Cambridge Crossing at North First Street",42.371141,-71.076198,42.37125,-71.076335,1,rooftop,125,"Monsignor O'brien Hwy",,,Cambridge,MA,"Middlesex County",02141,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
182,"Museum of Science",42.36769018024484,-71.07116281986237,42.367704,-71.071183,1,rooftop,1,"Science Park",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
88,"Inman Square at Vellucci Plaza / Hampshire St",42.374035,-71.101427,42.373993,-71.101489,1,rooftop,1407,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
583,"Broad Canal Way at Third Street",42.36304549626695,-71.08287078916874,42.363326,-71.082784,1,rooftop,7,"Broad Canal Way",,,Cambridge,MA,"Middlesex County",02142,US,"City of Cambridge"
556,"Ross Playground",42.2645666,-71.1145523,42.264589,-71.114901,1,rooftop,129,"Westminster St",,,"Hyde Park",MA,"Suffolk County",02136,US,"City of Boston"
167,"Ryan Playground - Dorchester Ave at Harbor View St",42.317642,-71.056664,42.317639,-71.056961,1,rooftop,971,"Dorchester Ave",,,Dorchester,MA,"Suffolk County",02125,US,"City of Boston"
T32005,"Salem MBTA - Washington at Federal St",42.52345239346618,-70.89611113071442,42.523319,-70.895688,1,rooftop,30,"Federal St",,,Salem,MA,"Essex County",01970,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
380,"Mass Ave at Albany St",42.36135837662249,-71.09670273977825,42.361431,-71.096685,1,rooftop,211,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
590,"John Ahern Field at Kennedy-Longfellow School",42.36903566594827,-71.08630959910442,42.369401,-71.086201,1,rooftop,158,"Spring St",,,Cambridge,MA,"Middlesex County",02141,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
264,"Washington St at Egremont Rd (former)",42.3429444,-71.1413333,42.34258,-71.141251,1,rooftop,16-20,"Washington St",,,Boston,MA,"Suffolk County",02108,US,"City of Boston"
B32018,"Boylston St at Massachusetts Ave",42.34740620525209,-71.08678414955648,42.34756,-71.086825,1,nearest_street,,I-90,,,Boston,MA,"Suffolk County",02215,US,"TIGER/Line® dataset from the US Census Bureau"
539,"Walnut Ave at School St",42.31242399029812,-71.09616905450821,42.312549,-71.096551,1,rooftop,4,"School St",,,Roxbury,MA,"Suffolk County",02119,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
32,"Landmark Center - Brookline Ave at Park Dr",42.343690557197476,-71.10235286881107,42.343655,-71.102017,1,rooftop,200,"Brookline Ave",,,Boston,MA,"Suffolk County",02215,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
A32054,"Addison St at Saratoga St",42.38518146513944,-71.0151367,42.384984,-71.015239,1,rooftop,155,"Addison St",,,"East Boston",MA,"Suffolk County",02128,US,"City of Boston"
B32059,"Whittier St Health Center",42.332862884862635,-71.09218861916816,42.332753,-71.091969,1,rooftop,1290,"Tremont St",,,"Roxbury Crossing",MA,"Suffolk County",02120,US,"City of Boston"
145,"Rindge Avenue - O'Neill Library",42.392766,-71.129042,42.392768,-71.129273,1,rooftop,3,"Yerxa Rd",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
511,"Bellevue T Stop",42.28611420958351,-71.14636927843094,42.286208,-71.146647,1,rooftop,355,"Belgrade Ave",,,"West Roxbury",MA,"Suffolk County",02132,US,"City of Boston"
M32070,"MIT Carleton St at Amherst St",42.360615134,-71.086539388,42.360614,-71.086234,1,rooftop,49,"Amherst St",,,Cambridge,MA,"Middlesex County",02142,US,"City of Cambridge"
510,"Mass Ave at Broadway",42.414202132001854,-71.15051883389242,42.414471,-71.150149,1,rooftop,309,Broadway,,,Arlington,MA,"Middlesex County",02474,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
C32080,"Mt. Hope St at Hyde Park Ave",42.28484472443536,-71.11874517062459,42.285019,-71.118661,1,rooftop,454-456,"Hyde Park Ave",,,Roslindale,MA,"Suffolk County",02131,US,"City of Boston"
V32012,"Hale Park",42.415282845,-71.052753568,42.415118,-71.05275,1,rooftop,76,"Glendale St",,,Everett,MA,"Middlesex County",02149,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
C32089,"Hyde Park Ave at Walk Hill St",42.29606704649873,-71.11601199963843,42.296119,-71.115791,1,rooftop,4,"Walk Hill St",,,"Jamaica Plain",MA,"Suffolk County",02130,US,"City of Boston"
376,"Honan Library",42.36027370454934,-71.12852452327388,42.360442,-71.128666,1,rooftop,288-290,"N Harvard St",,,Allston,MA,"Suffolk County",02134,US,"City of Boston"
390,"Broadway at Lynde St",42.39648358247693,-71.06546759905541,42.396068,-71.065164,0.99,rooftop,41,"Bow St",,,Everett,MA,"Middlesex County",02149,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
457,"N. Beacon St at N. Beacon Ct",42.36444157139109,-71.18091373646166,42.364377,-71.181021,1,rooftop,65,"N Beacon St",,,Watertown,MA,"Middlesex County",02472,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
427,"Washington St at Denton Terr",42.280728147169015,-71.13423757273267,42.280639,-71.134131,1,rooftop,1,"Denton Ter",,,Roslindale,MA,"Suffolk County",02131,US,"City of Boston"
D32002,"Washington St at Waltham St",42.341574718737476,-71.06890439987183,42.341669,-71.069251,1,rooftop,1355,"Washington St",,,Boston,MA,"Suffolk County",02118,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
540,"Sumner St at Shirley Ave",42.408337058129746,-70.99804848432541,42.408263,-70.998109,1,rooftop,69,"Shirley Ave",,,Revere,MA,"Suffolk County",02151,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
513,"Roseland St At Dorchester Ave",42.2911685327193,-71.06300890445709,42.291059,-71.063021,1,rooftop,1735-1741,"Dorchester Ave",,,Boston,MA,"Suffolk County",02124,US,"City of Boston"
C32043,"Talbot Ave At Blue Hill Ave",42.2945833,-71.087111,42.294829,-71.086921,1,rooftop,236,"Harvard St",,,"Dorchester Center",MA,"Suffolk County",02124,US,"City of Boston"
27,"Roxbury Crossing T Stop - Columbus Ave at Tremont St",42.331184,-71.095171,42.330999,-71.095753,0.99,rooftop,1163,"Columbus Ave",,,"Roxbury Crossing",MA,"Suffolk County",02120,US,"City of Boston"
143,"EF - North Point Park",42.369885,-71.069957,42.369961,-71.070647,0.99,rooftop,1,"Education St",,,Cambridge,MA,"Middlesex County",02141,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
D32007,"Boylston St at Arlington St",42.352052,-71.07036,42.351769,-71.070221,1,rooftop,310,"Boylston St",,,Boston,MA,"Suffolk County",02116,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
A32006,"Soldiers Field Park - 111 Western Ave",42.364338398,-71.118256092,42.364324,-71.119363,0.99,rooftop,1,"Western Ave",,,Boston,MA,"Suffolk County",02163,US,"City of Boston"
152,"Ink Block - Harrison Ave at Herald St",42.345901,-71.063187,42.34576,-71.063808,0.99,rooftop,333,"Harrison Ave",,,Boston,MA,"Suffolk County",02118,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
D32041,"Stony Brook T Stop",42.316966,-71.104374,42.317353,-71.10433,1,rooftop,96-104,"Boylston St",,,"Jamaica Plain",MA,"Suffolk County",02130,US,"City of Boston"
A32010,"South Station - 700 Atlantic Ave",42.352175,-71.055547,42.351923,-71.05539,1,rooftop,650,"Atlantic Ave",,,Boston,MA,"Suffolk County",02210,US,"City of Boston"
460,"Broad St at Central St",42.35849449039304,-71.05426469875965,42.358433,-71.054489,1,rooftop,23-37,"Broad St",,,Boston,MA,"Suffolk County",02109,US,"City of Boston"
B32062,"Forsyth St at Huntington Ave",42.339143991,-71.090494037,42.339249,-71.090259,1,rooftop,50,"Forsyth St",,,Boston,MA,"Suffolk County",02115,US,"City of Boston"
G32001,"Malden Center T Station",42.426541,-71.073179,42.426013,-71.072928,0.99,rooftop,200,"Exchange St",,,Malden,MA,"Middlesex County",02148,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
64,"Congress St at Sleeper St",42.351004495946704,-71.04930013418198,42.351139,-71.049191,1,rooftop,332-334,"Congress St",,,Boston,MA,"Suffolk County",02210,US,"City of Boston"
ZZ32996,"Auburn St. at Mystic River",42.41759089672136,-71.12608127863496,42.417334,-71.125326,0.99,rooftop,107,"Auburn St",,,Medford,MA,"Middlesex County",02155,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
164,"Test 000e3",0.0,0.0,0,0,0,,,,,,,,,,,
S32004,"Conway Park - Somerville Avenue",42.383638948222654,-71.10853672027588,42.38355,-71.108765,1,rooftop,578,"Somerville Ave",,,Somerville,MA,"Middlesex County",02143,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
46,"Christian Science Plaza - Massachusetts Ave at Westland Ave",42.3436658245146,-71.08582377433777,42.343639,-71.086361,1,rooftop,279,"Massachusetts Ave",,,Boston,MA,"Suffolk County",02115,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
158,"8D OPS 01",0.0,0.0,0,0,0,,,,,,,,,,,
568,"Shawmut Ave at Lenox St",42.33584612997077,-71.08038157224655,42.335949,-71.080411,1,rooftop,601,"Shawmut Ave",,,Boston,MA,"Suffolk County",02118,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
213,"East Boston Neighborhood Health Center - 20 Maverick Square",42.369536,-71.039431,42.369606,-71.03964,1,rooftop,20,"Maverick Sq",,,"East Boston",MA,"Suffolk County",02128,US,"City of Boston"
93,"JFK/UMass T Stop",42.32033973515723,-71.05118036270142,42.319914,-71.051249,1,rooftop,25,"William T Morrissey Blvd",,,Dorchester,MA,"Suffolk County",02125,US,"City of Boston"
S32018,"Assembly Square T",42.392232840046276,-71.07746601104736,42.392398,-71.077831,1,rooftop,484,"Revolution Dr",,,Somerville,MA,"Middlesex County",02145,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
C32084,"Washington St at Fuller St",42.281986277339136,-71.07147924620222,42.281882,-71.071409,1,rooftop,851-857A,"Washington St",,,Boston,MA,"Suffolk County",02124,US,"City of Boston"
M32094,"40 Thorndike St",42.369061,-71.079999,42.36885,-71.079985,1,rooftop,48,"Spring St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
470,"Union St at Herrick Rd – Newton Centre Green Line",42.32956868185623,-71.19367271661758,42.329553,-71.193907,1,rooftop,21,"Herrick Rd",,,"Newton Center",MA,"Middlesex County",02459,US,"Town of Newton"
M32023,"Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St",42.377945,-71.116865,42.378117,-71.116978,1,rooftop,25,"Oxford St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
T32003,"Shetland Park - Congress at Peabody St",42.51836788262243,-70.88952362537384,42.518128,-70.889625,1,rooftop,70,"Ward St",,,Salem,MA,"Essex County",01970,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
40,"Lewis Wharf at Atlantic Ave",42.363871,-71.050877,42.363723,-71.050818,1,rooftop,43,"Lewis Wharf",,,Boston,MA,"Suffolk County",02110,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
389,"Everett Square (Broadway at Chelsea St)",42.406956789102416,-71.05650289605819,42.407107,-71.056335,1,rooftop,14,"Norwood St",,,Everett,MA,"Middlesex County",02149,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
S32019,"Grove St at Community Path",42.396386809455,-71.12011306006025,42.396341,-71.11992,1,rooftop,43,"Grove St",,,Somerville,MA,"Middlesex County",02144,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
395,"Chelsea St at Vine St",42.40328056972533,-71.04762639859473,42.40305,-71.047305,1,rooftop,209,"Chelsea St",,,Everett,MA,"Middlesex County",02149,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
392,"Glendale Square (Ferry St at Broadway)",42.41427294293992,-71.04479655659816,42.414627,-71.045257,0.99,rooftop,1,"Russell St",,,Everett,MA,"Middlesex County",02149,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
N32000,"Centre St at Washington St",42.35574334805774,-71.18641942508475,42.35552,-71.186504,1,rooftop,425,"Centre St",,,Newton,MA,"Middlesex County",02458,US,"Town of Newton"
415,"Stuart St at Berkeley St",42.34954403114251,-71.0724207387284,42.349249,-71.072441,1,rooftop,350,"Stuart St",,,Boston,MA,"Suffolk County",02116,US,"City of Boston"
450,"Beacon St at Englewood Ave",42.337369153709254,-71.14485977232107,42.33755,-71.144942,1,rooftop,1834,"Beacon St",,,Brookline,MA,"Norfolk County",02445,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
215,"The Eddy - New St at Sumner St",42.370744,-71.044201,42.371069,-71.044031,1,rooftop,8,"New St",,,"East Boston",MA,"Suffolk County",02128,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
30,"Brigham Circle - Francis St at Huntington Ave",42.33462893055976,-71.10407917767589,42.334335,-71.103805,1,rooftop,708,"Huntington Ave",,,Boston,MA,"Suffolk County",02115,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
B32060,"700 Commonwealth Ave.",42.34960945333059,-71.10391523698127,42.349369,-71.104021,1,rooftop,700,"Commonwealth Ave",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
B32035,"Cleveland Circle",42.335543083570826,-71.15061519672052,42.335262,-71.150564,1,rooftop,383,"Chestnut Hill Ave",,,Brighton,MA,"Suffolk County",02135,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
80,"MIT Stata Center at Vassar St / Main St",42.3621312344991,-71.09115600585936,42.362123,-71.091429,1,rooftop,43,"Vassar St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
553,"Cambridge Crossing at North First Street",42.371141,-71.076198,42.37125,-71.076335,1,rooftop,125,"Monsignor O'brien Hwy",,,Cambridge,MA,"Middlesex County",02141,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
M32051,"Fresh Pond Reservation",42.38267827521855,-71.143478951426,42.382529,-71.143263,1,nearest_street,,US-3,,,Cambridge,MA,"Middlesex County",02138,US,"TIGER/Line® dataset from the US Census Bureau"
H32006,"855 Broadway",42.398417726101584,-71.02390923402707,42.398413,-71.023741,1,rooftop,855,Broadway,,,Chelsea,MA,"Suffolk County",02150,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
469,"Bacon St at Washington St",42.35711920909866,-71.1860453666327,42.357203,-71.186236,1,rooftop,303,"Washington St",,,Newton,MA,"Middlesex County",02458,US,"Town of Newton"
397,"Broadway at Beacham St",42.39836059620832,-71.06373842814719,42.39853,-71.064126,1,rooftop,128,Broadway,,,Everett,MA,"Middlesex County",02149,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
271,"Ashmont T Stop",42.2856944,-71.0641389,42.285639,-71.063971,1,rooftop,195,"Ashmont St",,,"Dorchester Center",MA,"Suffolk County",02124,US,"City of Boston"
D32009,"Congress St at Boston City Hall",42.36041774637169,-71.05752243543975,42.360109,-71.058141,0.99,rooftop,1,"City Hall Plz",,,Boston,MA,"Suffolk County",02108,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
C32041,"Fields Corner T Stop",42.299604654,-71.060694456,42.299548,-71.060576,1,rooftop,1493,"Dorchester Ave",,,Dorchester,MA,"Suffolk County",02122,US,"City of Boston"
250,"Park Plaza at Charles St (former)",42.35186,-71.067688,42.351622,-71.067819,1,rooftop,2,"Columbus Ave",,,Boston,MA,"Suffolk County",02116,US,"City of Boston"
330,"30 Dane St",42.38100143038052,-71.10402522613185,42.380746,-71.104201,1,rooftop,34,"Dane St",,,Somerville,MA,"Middlesex County",02143,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
249,"Commonwealth Ave at Chiswick Rd (former)",42.3402177416592,-71.1517309399278,42.34033,-71.152029,1,rooftop,1825,"Commonwealth Ave",,,Brighton,MA,"Suffolk County",02135,US,"City of Boston"
527,"Newton Library",42.336203368830134,-71.207794547081,42.336033,-71.207844,1,rooftop,330,"Homer St",,,"Newton Center",MA,"Middlesex County",02459,US,"Town of Newton"
M32033,"Alewife Station at Russell Field",42.396105,-71.139459,42.396144,-71.139786,1,rooftop,351,"Rindge Ave",,,Cambridge,MA,"Middlesex County",02140,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
C32007,"Prudential Center - 101 Huntington Ave",42.346401811,-71.080463171,42.346109,-71.080331,1,rooftop,118,"Huntington Ave",,,Boston,MA,"Suffolk County",02116,US,"City of Boston"
441,"Sullivan Square",42.384452256358436,-71.07514854529654,42.384139,-71.074961,1,rooftop,33-39,"Cambridge St",,,Charlestown,MA,"Suffolk County",02129,US,"City of Boston"
A32030,"Maverick Square - Lewis Mall",42.368844082898356,-71.03977829217911,42.368779,-71.039815,1,rooftop,1,"Lewis Mall",,,Boston,MA,"Suffolk County",02128,US,"City of Boston"
222,"Troy Boston",42.343749,-71.062256,42.343634,-71.06266,1,rooftop,275,"Albany St",,,Boston,MA,"Suffolk County",02118,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
C32004,"Massachusetts Ave at Columbus Ave",42.340835,-71.0816197,42.340898,-71.081745,1,rooftop,434,"Massachusetts Ave",,,Boston,MA,"Suffolk County",02118,US,"City of Boston"
H32007," Broadway and Cabot",42.4021215,-71.0195408,42.401946,-71.019437,1,rooftop,979,Broadway,,,Chelsea,MA,"Suffolk County",02150,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
169,"Edwards Playground - Main St at Eden St",42.378965,-71.068607,42.378729,-71.068661,1,rooftop,340A,"Main St",,,Charlestown,MA,"Suffolk County",02129,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
352,"Ring Rd",42.348278385426255,-71.08044855314802,42.348169,-71.080711,1,rooftop,776,"Boylston St",,,Boston,MA,"Suffolk County",02199,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
436,"Maverick St at Massport Path",42.36774122306014,-71.0333597474255,42.367619,-71.033551,1,rooftop,273,"Maverick St",,,"East Boston",MA,"Suffolk County",02128,US,"City of Boston"
162,"Franklin Park - Seaver St at Humboldt Ave",42.309796,-71.092225,42.309929,-71.091521,0.99,rooftop,122,"Seaver St",,,Dorchester,MA,"Suffolk County",02121,US,"City of Boston"
C32017,"South Boston Library - 646 E Broadway",42.335741,-71.03877,42.335785,-71.038715,1,rooftop,646,"E Broadway",,,"South Boston",MA,"Suffolk County",02127,US,"City of Boston"
65,"Boston Convention and Exhibition Center - Summer St at West Side Dr",42.347763454147454,-71.0453599691391,42.3483,-71.044854,0.99,rooftop,370-430,"Summer St",,,Boston,MA,"Suffolk County",02210,US,"City of Boston"
S32046,"Gilman Square T at Medford St",42.3867355,-71.0946444,42.386464,-71.094188,1,rooftop,311,"Medford St",,,Somerville,MA,"Middlesex County",02143,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
150,"State Street at Channel Center",42.344137,-71.052608,42.344643,-71.0525,0.99,rooftop,169,"A St",,,Boston,MA,"Suffolk County",02210,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
357,"Centre St at Seaverns Ave",42.3121203,-71.1142981,42.312199,-71.114441,1,rooftop,677,"Centre St",,,"Jamaica Plain",MA,"Suffolk County",02130,US,"City of Boston"
D32046,"Boylston St at Exeter St",42.349662185,-71.079051614,42.34986,-71.079233,1,rooftop,699,"Boylston St",,,Boston,MA,"Suffolk County",02116,US,"City of Boston"
425,"The Dimock Center",42.3193094317828,-71.09639923859504,42.319199,-71.096331,1,rooftop,30,"Dimock St",,,Roxbury,MA,"Suffolk County",02119,US,"City of Boston"
N32011,"California at Chapel",42.365148708129546,-71.20236039161682,42.365252,-71.202298,1,rooftop,331,"California St",,,Newton,MA,"Middlesex County",02458,US,"Town of Newton"
258,"Gallivan Blvd at Adams St",42.28297567840305,-71.05466698296368,42.28299,-71.054715,1,rooftop,540,"Gallivan Blvd",,,"Dorchester Center",MA,"Suffolk County",02124,US,"City of Boston"
C32015,"Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave",42.325333,-71.075354,42.325371,-71.075351,1,rooftop,409,"Dudley St",,,Roxbury,MA,"Suffolk County",02119,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
56,"Dudley Square - Bolling Building",42.329842993518085,-71.08386572459494,42.329702,-71.083865,1,rooftop,25,"Warren St",,,Roxbury,MA,"Suffolk County",02119,US,"City of Boston"
86,"Brookline Village - Station Street at MBTA",42.33274392304887,-71.11626680949485,42.332329,-71.116078,1,rooftop,4,"Brookline Pl",,,Brookline,MA,"Norfolk County",02445,US,"City of Brookline"
M32066,"Discovery Park - 30 Acorn Park Drive",42.39790817368333,-71.14797130814623,42.398097,-71.147675,1,rooftop,30,"Acorn Park Dr",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
N32005,"West Newton",42.349600498642076,-71.2262749671936,42.349616,-71.22623,1,rooftop,1281,"Washington St",,,"West Newton",MA,"Middlesex County",02465,US,"Town of Newton"
518,"Shetland Park - Congress at Peabody St",42.51836788262243,-70.88952362537384,42.518128,-70.889625,1,rooftop,70,"Ward St",,,Salem,MA,"Essex County",01970,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
